Product Name,Current Factory,Scenario Factory,Records Scored,Predicted Slow Probability,Predicted Slow Rate,Current Slow Probability,Probability Reduction,Improvement_Percentage_Points,Is_Current_Factory
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,2015,0.309277072960279,0.3245657568238213,0.3164426964150509,0.007165623454771897,0.7165623454771897,False
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Wicked Choccy's,2015,0.3164426964150509,0.32655086848635234,0.3164426964150509,0.0,0.0,True
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Lot's O' Nuts,2064,0.3094075133405863,0.32073643410852715,0.3094075133405863,0.0,0.0,True
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Secret Factory,2064,0.3140926218859554,0.3280038759689923,0.3094075133405863,-0.004685108545369077,-0.46851085453690766,False
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Sugar Shack,2064,0.31914953129295304,0.3328488372093023,0.3094075133405863,-0.009742017952366733,-0.9742017952366733,False
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,The Other Factory,2064,0.3032808536870502,0.3187984496124031,0.3094075133405863,0.006126659653536093,0.6126659653536093,False
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,2064,0.3114337799667485,0.33091085271317827,0.3094075133405863,-0.0020262666261621765,-0.20262666261621765,False
Wonka Gum,Secret Factory,Lot's O' Nuts,120,0.3093139886526811,0.31666666666666665,0.31483667906047436,0.00552269040779324,0.552269040779324,False
Wonka Gum,Secret Factory,Secret Factory,120,0.31483667906047436,0.3,0.31483667906047436,0.0,0.0,True
Wonka Gum,Secret Factory,Sugar Shack,120,0.3166319672249809,0.30833333333333335,0.31483667906047436,-0.0017952881645065255,-0.17952881645065255,False
Wonka Gum,Secret Factory,The Other Factory,120,0.3027407782891676,0.30833333333333335,0.31483667906047436,0.012095900771306733,1.2095900771306733,False
Wonka Gum,Secret Factory,Wicked Choccy's,120,0.30757279866598636,0.30833333333333335,0.31483667906047436,0.007263880394487998,0.7263880394487998,False
